group,specifier,long_name,units,resolution,frequency,valid_min,valid_max,comment
biodiversity-variables,amphibianprob,Amphibian Species Probability of Occurrence,Probability of occurrence per cell,0.5° grid,30year-mean,0.0,2500.0,Results from individual SDMs assuming no dispersal.
biodiversity-variables,birdprob,Terrestrial Bird Species Probability of Occurrence,Probability of occurrence per cell,0.5° grid,30year-mean,0.0,2500.0,Results from individual SDMs assuming no dispersal.
biodiversity-variables,mammalprob,Terrestrial Mammal Species Probability of Occurrence,Probability of occurrence per cell,0.5° grid,30year-mean,0.0,2500.0,Results from individual SDMs assuming no dispersal.
biodiversity-variables,amphibiansumprob,Amphibian Summed Probability of Occurrence,Summed probability of occurrence per cell,0.5° grid,30year-mean,0.0,2500.0,Aggregated results from individual SDMs assuming no dispersal.
biodiversity-variables,birdsumprob,Terrestrial Bird Summed Probability of Occurrence,Summed probability of occurrence per cell,0.5° grid,30year-mean,0.0,2500.0,Aggregated results from individual SDMs assuming no dispersal.
biodiversity-variables,mammalsumprob,Terrestrial Mammal Summed Probability of Occurrence,Summed probability of occurrence per cell,0.5° grid,30year-mean,0.0,2500.0,Aggregated results from individual SDMs assuming no dispersal.
biodiversity-variables,endamphibiansumprob,Summed Probability of Endemic Amphibian Species,Summed probability of occurrence per cell,0.5° grid,30year-mean,0.0,2500.0,Aggregated results from individual SDMs assuming no dispersal.
biodiversity-variables,endbirdsumprob,Summed Probability of Endemic Terrestrial Bird Species,Summed probability of occurrence per cell,0.5° grid,30year-mean,0.0,2500.0,Aggregated results from individual SDMs assuming no dispersal.
biodiversity-variables,endmammalsumprob,Summed Probability of Endemic Terrestrial Mammal Species,Summed probability of occurrence per cell,0.5° grid,30year-mean,0.0,2500.0,Aggregated results from individual SDMs assuming no dispersal.
biodiversity-variables,thramphibiansumprob,Summed Probability of Threatened Amphibian Species,Summed probability of occurrence per cell,0.5° grid,30year-mean,0.0,2500.0,Aggregated results from individual SDMs assuming no dispersal.
biodiversity-variables,thrbirdsumprob,Summed Probability of Threatened Terrestrial Bird Species,Summed probability of occurrence per cell,0.5° grid,30year-mean,0.0,2500.0,Aggregated results from individual SDMs assuming no dispersal.
biodiversity-variables,thrmammalsumprob,Summed Probability of Threatened Terrestrial Mammal Species,Summed probability of occurrence per cell,0.5° grid,30year-mean,0.0,2500.0,Aggregated results from individual SDMs assuming no dispersal.
biodiversity-variables,amphibiansr,Amphibian Species Richness,Estimated number of species (species richness) per cell,0.5° grid,30year-mean,0.0,2500.0,Results from macroecological richness models
biodiversity-variables,birdsr,Terrestrial Bird Species Richness,Estimated number of species (species richness) per cell,0.5° grid,30year-mean,0.0,2500.0,Results from macroecological richness models
biodiversity-variables,mammalsr,Terrestrial Mammal Species Richness,Estimated number of species (species richness) per cell,0.5° grid,30year-mean,0.0,2500.0,Results from macroecological richness models
