group,specifier,long_name,units,resolution,frequency,valid_min,valid_max,comment
hydrological-variables,qtot,Total Runoff,kg m-2 s-1,0.5° grid,daily & monthly,0.0,0.015,Total (surface + subsurface) runoff (qtot = qs + qsb). Please provide both daily and monthly resolution.
hydrological-variables,qs,Surface Runoff,kg m-2 s-1,0.5° grid,monthly,0.0,0.004,Water that leaves the surface layer (top soil layer) e.g. as overland flow / fast runoff.
hydrological-variables,evap,Evapotranspiration,kg m-2 s-1,0.5° grid,monthly,0.0,0.004,"Sum of transpiration, evaporation, interception and sublimation."
hydrological-variables,soilmoist,Total Soil Moisture Content,kg m-2,0.5° grid,"daily if possible, else monthly",0.0,10000.0,"Please provide soil moisture for all depth layers (i.e. 3D-field), and indicate depth in m. If depth varies over time or space, see instructions for depth layers on <https://www.isimip.org/protocol/preparing-simulation-files>."
hydrological-variables,soilmoistfroz,Frozen Soil Moisture Content,kg m-2,0.5° grid,monthly,0.0,10000.0,Please provide soil moisture for all depth levels and indicate depth in m. See instructions for depth layers on <https://www.isimip.org/protocol/preparing-simulation-files>.
hydrological-variables,tsl,Temperature of Soil,K,0.5° grid,"daily if possible, else monthly",250.0,320.0,"Temperature of each soil layer. Reported as ""missing"" for grid cells occupied entirely by ""sea"". If daily resolution not possible, please provide monthly. If depth varies over time or space, see instructions for depth layers on <https://www.isimip.org/protocol/preparing-simulation-files>."
hydrological-variables,snd,Snow depth,m,0.5° grid,"daily if possible, else monthly",0.0,1000.0,Grid cell mean depth of snowpack.
hydrological-variables,swe,Snow Water Equivalent,kg m-2,0.5° grid,monthly,0.0,200000.0,Total water mass of the snowpack (liquid or frozen) averaged over grid cell.
hydrological-variables,thawdepth,Annual Maximum Thaw Depth,m,0.5° grid,annual,0.0,100.0,Calculated from daily thaw depths.
hydrological-variables,esoil,Water Evaporation from Soil,kg m-2 s-1,0.5° grid,monthly,,,Includes sublimation.
hydrological-variables,trans,Transpiration,kg m-2 s-1,0.5° grid,monthly,,,
water-management-variables,pirnreqcum,Cumulative Potential Net Irrigation Water Requirement,kg m-2,0.5° grid,annual,,,"Soil water demand required to avoid water stress accumulated across the growing season, excluding any water losses associated with application or transport and without constraints due to water availability; only needed for `firr` simulations."
agricultural-variables,yield,Crop Yields,dry matter (t ha-1),0.5° grid,annual,,,"Yield may be identical to above-ground biomass (biom) if the entire plant is harvested, e.g. for bioenergy production. Yields are reported per growing seasons and not per year."
agricultural-variables,evapcum,Cumulative Evapotranspiration,kg m-2,0.5° grid,annual,,,"Evapotranspiration = sum of transpiration, evaporation, interception and sublimation aggregated across the growing season."
agricultural-variables,initrcum,Cumulative Nitrogen Application,kg ha-1,0.5° grid,annual,,,"Integral of the total nitrogen application rate over the growing season. If organic and inorganic amendments are applied, the nitrogen application should be reported as effective inorganic nitrogen input (ignoring residues)."
agricultural-variables,plantday,Planting Date,day of year,0.5° grid,annual,,,As Julian dates. The planting date reported here corresponds to the actual planting date in the simulation and may diverge from the planting calendar used for harmonization.
agricultural-variables,plantyear,Planting Year,calendar year,0.5° grid,annual,,,
agricultural-variables,anthday,Anthesis Date,days from planting,0.5° grid,annual,,,Together with the day and year of planting it allows for clear identification of anthesis.
agricultural-variables,matyday,Maturity Date,days from planting,0.5° grid,annual,,,Together with the day and year of planting it allows for clear identification of maturity.
agricultural-variables,harvyear,Harvest Year,calendar year,0.5° grid,annual,,,Usually the year when maturity is reached. Can also be computed from planting and maturuty day.
agricultural-variables,biom,Total Above Ground Biomass Dry Matter Yields,t ha-1,0.5° grid,annual,,,The whole plant biomass above ground.
agricultural-variables,nupcum,Cumulative Nitrogen Uptake,kg ha-1,0.5° grid,annual,,,Nitrogen balance: Uptake (growing season sum)
agricultural-variables,nincum,Cumulative Nitrogen Inputs,kg ha-1,0.5° grid,annual,,,Nitrogen balance: Inputs (growing season sum)
agricultural-variables,nlosscum,Cumulative Nitrogen Losses,kg ha-1,0.5° grid,annual,,,Nitrogen balance: Losses (growing season sum)
agricultural-variables,nleachcum,Cumulative Nitrogen Leached,kg ha-1,0.5° grid,annual,,,Nitrogen balance: Leaching (growing season sum)
carbon-pools,cveg,Carbon Mass in Vegetation,kg m-2,0.5° grid,annual,,,Grid cell total and PFT information is essential.
carbon-pools,cvegag,Carbon Mass in Above Ground Vegetation Biomass,kg m-2,0.5° grid,annual,,,Grid cell total and PFT information is essential.
carbon-pools,cvegbg,Carbon Mass in Below Ground Vegetation Biomass,kg m-2,0.5° grid,annual,,,Grid cell total and PFT information is essential.
carbon-pools,clitterag,Carbon Mass in Above Ground Litter Pool,kg m-2,0.5° grid,annual,,,Grid cell total and PFT information is essential.
carbon-pools,clitterbg,Carbon Mass in Below Ground Litter Pool,kg m-2,0.5° grid,annual,,,"Only if models separates below-ground litter and soil carbon. If not, only report csoil and document this in the model documentation. Grid cell total and PFT information is essential."
carbon-pools,csoil,Carbon Mass in Soil Pool,kg m-2,0.5° grid,annual,,,"Soil carbon excluding belowground litter if your model reports clitter. If not including below-ground litter, i.e. only report csoil and document this in the model documentation. Grid cell total and PFT information is essential."
carbon-pools,csoillayer,Carbon Mass in Soil Pool in each layer,kg m-2,0.5° grid,annual,,,"Soil carbon excluding belowground litter if your model reports clitter. If not including below-ground litter, i.e. only report csoil and document this in the model documentation. Grid cell total and PFT information is essential. If possible, provide soil carbon for all depth layers (i.e. 3D-field), and indicate depth in m. Otherwise, provide soil carbon integrated over entire soil depth."
