group,specifier,long_name,units,resolution,frequency,valid_min,valid_max,comment
hydrological-variables,evap,Evapotranspiration,kg m-2 s-1,stand,daily,0.0,0.004,"Sum of transpiration, evaporation, interception and sublimation."
hydrological-variables,soilmoist,Total Soil Moisture Content,kg m-2,stand,"daily if possible, else monthly",0.0,10000.0,"Please provide soil moisture for all depth layers (i.e. 3D-field), and indicate depth in m. If depth varies over time or space, see instructions for depth layers on <https://www.isimip.org/protocol/preparing-simulation-files>."
hydrological-variables,tsl,Temperature of Soil,K,stand,"daily if possible, else monthly",250.0,320.0,"Temperature of each soil layer. Reported as ""missing"" for grid cells occupied entirely by ""sea"". If daily resolution not possible, please provide monthly. If depth varies over time or space, see instructions for depth layers on <https://www.isimip.org/protocol/preparing-simulation-files>."
hydrological-variables,esoil,Water Evaporation from Soil,kg m-2 s-1,stand,daily,,,Includes sublimation.
hydrological-variables,trans,Transpiration,kg m-2 s-1,stand,daily,,,
carbon-pools,cveg,Carbon Mass in Vegetation,kg m-2,stand,annual,,,As kg carbon m⁻². Stand total and PFT information is essential.
carbon-pools,cvegag,Carbon Mass in Above Ground Vegetation Biomass,kg m-2,stand,annual,,,As kg carbon m⁻²Stand total and PFT information is essential.
carbon-pools,cvegbg,Carbon Mass in Below Ground Vegetation Biomass,kg m-2,stand,annual,,,As kg carbon m⁻². Stand total and PFT information is essential.
carbon-pools,clitterag,Carbon Mass in Above Ground Litter Pool,kg m-2,stand,annual,,,Species information is essential. Stand total and PFT information is essential.
carbon-pools,clitterbg,Carbon Mass in Below Ground Litter Pool,kg m-2,stand,annual,,,Only if models separates below-ground litter and soil carbon. Species information is essential.
carbon-pools,csoil,Carbon Mass in Soil Pool,kg m-2,stand,annual,,,"Soil carbon excluding belowground litter if your model reports clitter. If not including below-ground litter, i.e. only report csoil and document this in the model documentation. Grid cell total and species information is essential."
carbon-pools,csoillayer,Carbon Mass in Soil Pool in each layer,kg m-2,stand,annual,,,"Soil carbon excluding belowground litter if your model reports clitter. If not including below-ground litter, i.e. only report csoil and document this in the model documentation. Grid cell total and species information is essential. If possible, provide soil carbon for all depth layers (i.e. 3D-field), and indicate depth in m. Otherwise, provide soil carbon integrated over entire soil depth."
carbon-pools,cproduct,Carbon in Products of Land Use Change,kg m-2,stand,annual,,,Products generated during Land-use change. Removed carbon should not go into the soil but into the product pool. Please use the product classes used within your model and document them in the model documentation.
carbon-pools,cleaf,Carbon Mass in Leaves,kg m-2,stand,annual,,,
carbon-pools,cwood,Carbon Mass in Wood,kg m-2,stand,annual,,,Including sapwood and hardwood.
carbon-pools,croot,Carbon Mass in Roots,kg m-2,stand,annual,,,Including fine and coarse roots.
carbon-pools,ccwd,Carbon Mass in Coarse Woody Debris,kg m-2,stand,annual,,,
carbon-fluxes,gpp,Carbon Mass Flux out of Atmosphere due to Gross Primary Production on Land,kg m-2 s-1,stand,daily,,,As kg carbon m⁻² s⁻¹. Stand total and Species information is essential.
carbon-fluxes,ra,Carbon Mass Flux into Atmosphere due to Autotrophic (plant) Respiration on Land,kg m-2 s-1,stand,daily,,,As kg carbon m⁻² s⁻¹. Stand total and species information is essential.
carbon-fluxes,npp,Carbon Mass Flux out of Atmosphere due to Net Primary Production on Land,kg m-2 s-1,stand,daily,,,As kg carbon m⁻² s⁻¹. Stand total and species information is essential.
