group,specifier,long_name,units,resolution,frequency,valid_min,valid_max,comment
hydrothermal-variables,strat,Thermal Stratification,1,Representative lake associated with grid cell,daily,,,"1 if lake grid cell is thermally stratified, 0 if lake grid cell is not thermally stratified"
hydrothermal-variables,thermodepth,Depth of Thermocline,m,Representative lake associated with grid cell,daily,,,Depth corresponding the maximum water density gradient
hydrothermal-variables,watertemp,Temperature of Lake Water,K,Representative lake associated with grid cell,daily,,,Depth resolution: Full Profile. Simulated water temperature. Layer averages and full profiles.
hydrothermal-variables,surftemp,Temperature of Lake Surface Water,K,Representative lake associated with grid cell,daily and monthly,,,Average of the upper layer in case not simulated directly.
hydrothermal-variables,bottemp,Temperature of Lake Bottom Water,K,Representative lake associated with grid cell,daily and monthly,,,Average of the lowest layer in case not simulated directly.
hydrothermal-variables,ice,Lake Ice Cover,1,Representative lake associated with grid cell,daily,,,"1 if ice cover is present in lake grid cell, 0 if no ice cover is present in lake grid cell"
hydrothermal-variables,lakeicefrac,Lake Layer Ice Mass Fraction,1,Representative lake associated with grid cell,daily and monthly,,,Depth resolution: Mean epi. Fraction of mass of a given layer taken up by ice.
hydrothermal-variables,icethick,Ice Thickness,m,Representative lake associated with grid cell,daily and monthly,,,
hydrothermal-variables,snowthick,Snow Thickness,m,Representative lake associated with grid cell,daily and monthly,,,
hydrothermal-variables,icetemp,Ice Temperature at Upper Surface,K,Representative lake associated with grid cell,daily,,,
hydrothermal-variables,snowtemp,Snow Temperature at Upper Surface,K,Representative lake associated with grid cell,daily,,,
hydrothermal-variables,sensheatf,Sensible Heat Flux at Lake-Atmosphere Interface,W m-2,Representative lake associated with grid cell,"daily if possible, else monthly",,,At the surface of the layer in contact with the atmosphere. Positive if upwards.
hydrothermal-variables,latentheatf,Latent Heat Flux at Lake-Atmosphere Interface,W m-2,Representative lake associated with grid cell,daily and monthly,,,"At the surface of snow, ice or water depending on the layer in contact with the atmosphere. Positive if upwards."
hydrothermal-variables,momf,Momentum Flux at Lake-Atmosphere Interface,kg m-1 s-2,Representative lake associated with grid cell,daily and monthly,,,"At the surface of snow, ice or water depending on the layer in contact with the atmosphere. Positive if upwards."
hydrothermal-variables,swup,Upward Short-Wave Radiation Flux at Lake-Atmosphere Interface,W m-2,Representative lake associated with grid cell,daily and monthly,,,"At the surface of snow, ice or water depending on the layer in contact with the atmosphere. Positive if upwards. Not to be confused with net shortwave radiation."
hydrothermal-variables,lwup,Upward Long-Wave Radiation Flux at Lake-Atmosphere Interface,W m-2,Representative lake associated with grid cell,daily and monthly,,,"At the surface of snow, ice or water depending on the layer in contact with the atmosphere. Positive if upwards. Not to be confused with net longwave radiation."
hydrothermal-variables,lakeheatf,Downward Heat Flux at Lake-Atmosphere Interface,W m-2,Representative lake associated with grid cell,daily and monthly,,,"At the surface of snow, ice or water depending on the layer in contact with the atmosphere. Positive if upwards. the residual term of the surface energy balance, i.e. the net amount of energy that enters the lake on daily time scale: lakeheatf = swdown - swup + lwdown - lwup - sensheatf - latenheatf (terms defined positive when directed upwards)"
hydrothermal-variables,turbdiffheat,Turbulent Diffusivity of Heat,m2 s-1,Representative lake associated with grid cell,daily and monthly,,,"Depth resolution: Either full profile, or mean epi and mean hypo. Only if computed by the model."
hydrothermal-variables,extcoeff,Light Extinction Coefficient,m-1,Representative lake associated with grid cell,fixed,,,"Only to be reported for global models, local models should use extcoeff as input."
hydrothermal-variables,sedheatf,Sediment Upward Heat Flux at Lake-Sediment Interface,W m-2,Representative lake associated with grid cell,daily and monthly,,,Positive if upwards. Only if computed by the model.
