group,specifier,long_name,units,resolution,frequency,valid_min,valid_max,comment
hydrological-variables,qtot,Total Runoff,kg m-2 s-1,0.5°,daily & monthly,0.0,0.015,Total (surface + subsurface) runoff (qtot = qs + qsb). Please provide both daily and monthly resolution.
hydrological-variables,qs,Surface Runoff,kg m-2 s-1,0.5°,monthly,0.0,0.004,Water that leaves the surface layer (top soil layer) e.g. as overland flow / fast runoff.
hydrological-variables,qsb,Subsurface Runoff,kg m-2 s-1,0.5° grid,monthly,0.0,0.002,Sum of water that flows out from subsurface layer(s) including the groundwater layer (if present). Equals qg in case of a groundwater layer below only one soil layer.
hydrological-variables,qr,Total groundwater recharge,kg m-2 s-1,0.5°,monthly,0.0,0.002,For models that consider both diffuse and focussed/localised recharge this should be the sum of both; other models should submit the groundwater recharge component that the model simulates. See also the descriptions in qrf and qrd.
hydrological-variables,qrf,Focussed/localised groundwater recharge,kg m-2 s-1,0.5° grid,monthly,0.0,0.002,Water that directly flows from a surface water body into the groundwater layer below. Only submit if the model separates focussed/localised recharge from diffuse recharge.
hydrological-variables,qrd,Diffuse groundwater recharge,kg m-2 s-1,0.5° grid,monthly,0.0,0.002,Groundwater recharge from water that enters the groundwater layer via percolation through the soil. Only submit if the model separates focussed/localised recharge from diffuse recharge. For models that do not simulate groundwater this can be seepage instead of recharge. 
hydrological-variables,qg,Groundwater Runoff,kg m-2 s-1,0.5° grid,monthly,0.0,0.002,"Water that leaves the groundwater layer. In case seepage is simulated but no groundwater layer is present, report seepage as qr and qg."
hydrological-variables,dis,Discharge,m3 s-1,0.5° grid,daily & monthly,0.0,700000.0,River discharge or streamflow. Please provide both daily and monthly resolution.
hydrological-variables,evap,Evapotranspiration,kg m-2 s-1,0.5° grid,monthly,0.0,0.004,"Sum of transpiration, evaporation, interception and sublimation."
hydrological-variables,potevap,Potential Evapotranspiration,kg m-2 s-1,0.5° grid,monthly,0.0,0.004,"As evap, but with all resistances set to zero, except the aerodynamic resistance."
hydrological-variables,soilmoist,Total Soil Moisture Content,kg m-2,0.5° grid,"daily if possible, else monthly",0.0,10000.0,"Please provide soil moisture for all depth layers (i.e. 3D-field), and indicate depth in m. If depth varies over time or space, see instructions for depth layers on <https://www.isimip.org/protocol/preparing-simulation-files>."
hydrological-variables,rootmoist,Soil Moisture Content at Root Zone,kg m-2,0.5° grid,monthly,0.0,10000.0,"Total simulated soil moisture available for evapotranspiration. Please indicate the depth of the root zone for each vegetation type in your model. If depth varies over time or space, see instructions for depth layers on <https://www.isimip.org/protocol/preparing-simulation-files>."
hydrological-variables,soilmoistfroz,Frozen Soil Moisture Content,kg m-2,0.5° grid,monthly,0.0,10000.0,Please provide soil moisture for all depth levels and indicate depth in m. See instructions for depth layers on <https://www.isimip.org/protocol/preparing-simulation-files>.
hydrological-variables,tsl,Temperature of Soil,K,0.5° grid,"daily if possible, else monthly",200.0,330.0,"Temperature of each soil layer. Reported as ""missing"" for grid cells occupied entirely by ""sea"". If daily resolution not possible, please provide monthly. If depth varies over time or space, see instructions for depth layers on <https://www.isimip.org/protocol/preparing-simulation-files>."
hydrological-variables,snd,Snow depth,m,0.5° grid,"daily if possible, else monthly",0.0,1000.0,Grid cell mean depth of snowpack.
hydrological-variables,swe,Snow Water Equivalent,kg m-2,0.5° grid,monthly,0.0,200000.0,Total water mass of the snowpack (liquid or frozen) averaged over grid cell.
hydrological-variables,tws,Total Water Storage,kg m-2,0.5° grid,monthly,-200000.0,200000.0,Mean monthly water storage in all compartments. Please indicate in the netcdf metadata which storage compartments are considered.
hydrological-variables,canopystor,Canopy Water Storage,kg m-2,0.5° grid,monthly,0.0,10000.0,Mean monthly water storage in the canopy.
hydrological-variables,glacierstor,Glacier Water Storage,kg m-2,0.5° grid,monthly,0.0,100000.0,Mean monthly water storage in glaciers.
hydrological-variables,groundwstor,Groundwater Storage,kg m-2,0.5° grid,monthly,-200000.0,20000.0,Mean monthly water storage in groundwater layer.
hydrological-variables,lakestor,Lake Water Storage,kg m-2,0.5° grid,monthly,-200000.0,200000.0,Mean monthly water storage in lakes (except reservoirs).
hydrological-variables,wetlandstor,Wetland Water Storage,kg m-2,0.5° grid,monthly,-10000.0,10000.0,Mean monthly water storage in wetlands.
hydrological-variables,riverstor,River Water Storage,kg m-2,0.5° grid,monthly,0.0,50000.0,Mean monthly water storage in rivers.
hydrological-variables,reservoirstor,Reservoir Water Storage,kg m-2,0.5° grid,monthly,0.0,150000.0,Mean monthly water storage in reservoirs.
hydrological-variables,thawdepth,Annual Maximum Thaw Depth,m,0.5° grid,annual,0.0,100.0,Calculated from daily thaw depths.
hydrological-variables,triver,River Water Temperature,K,0.5° grid,monthly,263.0,340.0,Mean monthly water temperature in river (representative of the average temperature across the channel volume).
