group,specifier,long_name,units,resolution,frequency,valid_min,valid_max,comment
biodiversity-variables,amphibianprob,Amphibian Species Likelihood of Occurrence,1,0.5° grid,"annual, 30year-mean (1981-2010) for SDMs",0.0,1.0,Likelihood that a given species is present at a specific location based on environmental conditions and model predictions. It represents a relative measure of habitat suitability rather than a direct observation of presence.
biodiversity-variables,amphibianocc,Amphibian Species Propability with Threshold of Occurrence,0 or 1,0.5° grid,"annual, 30year-mean (1981-2010) for SDMs",0.0,1.0,"Thresholded probability of occurrence classifying each location as either suitable (1) or unsuitable (0) for a species based on an optimized, species-specific threshold."
biodiversity-variables,amphibianbuff,Amphibian Buffer,1,0.5° grid,"annual, 30year-mean (1981-2010) for SDMs",0.0,1.0,Buffer around the presence points on which the model is trained. (for species distribution models a buffer of 1000km was applied and for dynamic occupancy models a buffer of 750km was applied)
biodiversity-variables,amphibianpbuffer,Amphibian Probability Buffer,1,0.5° grid,"annual, 30year-mean (1981-2010) for SDMs",0.0,1.0,Amphibian probability masked by `Amphibian Buffer`.
biodiversity-variables,amphibianoccbuff,Amphibian Occurrence Buffer,0 or 1,0.5° grid,"annual, 30year-mean (1981-2010) for SDMs",0.0,1.0,Amphibian occurrence masked by `Amphibian buffer`.
biodiversity-variables,birdprob,Bird Species Likelihood of Occurrence,1,0.5° grid,"annual, 30year-mean (1981-2010) for SDMs",0.0,1.0,Likelihood that a given species is present at a specific location based on environmental conditions and model predictions. It represents a relative measure of habitat suitability rather than a direct observation of presence.
biodiversity-variables,birdocc,Bird Species Propability with Threshold of Occurrence,0 or 1,0.5° grid,"annual, 30year-mean (1981-2010) for SDMs",0.0,1.0,"Thresholded probability of occurrence classifying each location as either suitable (1) or unsuitable (0) for a species based on an optimized, species-specific threshold."
biodiversity-variables,birdbuff,Bird Buffer,1,0.5° grid,"annual, 30year-mean (1981-2010) for SDMs",0.0,1.0,Buffer around the presence points on which the model is trained. (for species distribution models a buffer of 1000km was applied and for dynamic occupancy models a buffer of 750km was applied)
biodiversity-variables,birdpbuffer,Bird Probability Buffer,1,0.5° grid,"annual, 30year-mean (1981-2010) for SDMs",0.0,1.0,Bird probability masked by `Bird Buffer`.
biodiversity-variables,birdoccbuff,Bird Occurrence Buffer,0 or 1,0.5° grid,"annual, 30year-mean (1981-2010) for SDMs",0.0,1.0,Bird occurrence masked by `Bird buffer`.
biodiversity-variables,mammalprob,Mammal Species Likelihood of Occurrence,1,0.5° grid,"annual, 30year-mean (1981-2010) for SDMs",0.0,1.0,Likelihood that a given species is present at a specific location based on environmental conditions and model predictions. It represents a relative measure of habitat suitability rather than a direct observation of presence.
biodiversity-variables,mammalocc,Mammal Species Propability with Threshold of Occurrence,0 or 1,0.5° grid,"annual, 30year-mean (1981-2010) for SDMs",0.0,1.0,"Thresholded probability of occurrence classifying each location as either suitable (1) or unsuitable (0) for a species based on an optimized, species-specific threshold."
biodiversity-variables,mammalbuff,Mammal Buffer,1,0.5° grid,"annual, 30year-mean (1981-2010) for SDMs",0.0,1.0,Buffer around the presence points on which the model is trained. (for species distribution models a buffer of 1000km was applied and for dynamic occupancy models a buffer of 750km was applied)
biodiversity-variables,mammalpbuffer,Mammal Probability Buffer,1,0.5° grid,"annual, 30year-mean (1981-2010) for SDMs",0.0,1.0,Mammal probability masked by `Mammal Buffer`.
biodiversity-variables,mammaloccbuff,Mammal Occurrence Buffer,0 or 1,0.5° grid,"annual, 30year-mean (1981-2010) for SDMs",0.0,1.0,Mammal occurrence masked by `Mammal buffer`.
biodiversity-variables,reptileprob,Reptile Species Likelihood of Occurrence,1,0.5° grid,"annual, 30year-mean (1981-2010) for SDMs",0.0,1.0,Likelihood that a given species is present at a specific location based on environmental conditions and model predictions. It represents a relative measure of habitat suitability rather than a direct observation of presence.
biodiversity-variables,reptileocc,Reptile Species Propability with Threshold of Occurrence,0 or 1,0.5° grid,"annual, 30year-mean (1981-2010) for SDMs",0.0,1.0,"Thresholded probability of occurrence classifying each location as either suitable (1) or unsuitable (0) for a species based on an optimized, species-specific threshold."
biodiversity-variables,reptilebuff,Reptile Buffer,1,0.5° grid,"annual, 30year-mean (1981-2010) for SDMs",0.0,1.0,Buffer around the presence points on which the model is trained. (for species distribution models a buffer of 1000km was applied and for dynamic occupancy models a buffer of 750km was applied)
biodiversity-variables,reptilepbuffer,Reptile Probability Buffer,1,0.5° grid,"annual, 30year-mean (1981-2010) for SDMs",0.0,1.0,Reptile probability masked by `Reptile Buffer`.
biodiversity-variables,reptileoccbuff,Reptile Occurrence Buffer,0 or 1,0.5° grid,"annual, 30year-mean (1981-2010) for SDMs",0.0,1.0,Reptile occurrence masked by `Reptile buffer`.
static-variables,cellarea,Grid Cell Area,km2,0.5° grid,fixed,0.0,3250.0,The total area associated with each grid cell in the model.
static-variables,contfrac,Continental Fraction of Grid Cell,1,0.5° grid,fixed,0.0,1.0,"The fraction of each grid cell that is assumed to be continent, i.e. including inland water bodies but excluding ocean shares. Should be 0 if the entire cell is assumed to be ocean, 1 if the entire cell is assumed to be covered by land or inland water bodies."
static-variables,landfrac,Land Fraction of Grid Cell,1,0.5° grid,fixed,0.0,1.0,"The fraction of each grid cell that is assumed to be land, i.e. excluding oceans and inland water bodies."
