group,specifier,long_name,units,resolution,frequency,valid_min,valid_max,comment
hydrological-variables,qtot,Total Runoff,kg m-2 s-1,0.5°,daily & monthly,0.0,0.017,Total (surface + subsurface) runoff (qtot = qs + qsb). Please provide both daily and monthly resolution.
hydrological-variables,qs,Surface Runoff,kg m-2 s-1,0.5°,monthly,0.0,0.004,Water that leaves the surface layer (top soil layer) e.g. as overland flow / fast runoff.
hydrological-variables,evap,Evapotranspiration,kg m-2 s-1,0.5° grid,monthly,0.0,0.004,"Sum of transpiration, evaporation, interception and sublimation."
hydrological-variables,soilmoist,Total Soil Moisture Content,kg m-2,0.5° grid,"daily if possible, else monthly",0.0,10000.0,"Please provide soil moisture for all depth layers (i.e. 3D-field), and indicate depth in m. If depth varies over time or space, see instructions for depth layers on <https://www.isimip.org/protocol/preparing-simulation-files>."
hydrological-variables,soilmoistfroz,Frozen Soil Moisture Content,kg m-2,0.5° grid,monthly,0.0,10000.0,Please provide soil moisture for all depth levels and indicate depth in m. See instructions for depth layers on <https://www.isimip.org/protocol/preparing-simulation-files>.
hydrological-variables,tsl,Temperature of Soil,K,0.5° grid,"daily if possible, else monthly",209.0,322.0,"Temperature of each soil layer. Reported as ""missing"" for grid cells occupied entirely by ""sea"". If daily resolution not possible, please provide monthly. If depth varies over time or space, see instructions for depth layers on <https://www.isimip.org/protocol/preparing-simulation-files>."
hydrological-variables,snd,Snow depth,m,0.5° grid,"daily if possible, else monthly",0.0,1000.0,Grid cell mean depth of snowpack.
hydrological-variables,swe,Snow Water Equivalent,kg m-2,0.5° grid,monthly,0.0,200000.0,Total water mass of the snowpack (liquid or frozen) averaged over grid cell.
hydrological-variables,thawdepth,Annual Maximum Thaw Depth,m,0.5° grid,annual,0.0,100.0,Calculated from daily thaw depths.
hydrological-variables,esoil,Water Evaporation from Soil,kg m-2 s-1,0.5° grid,monthly,0.0,0.004,Includes sublimation.
hydrological-variables,trans,Transpiration,kg m-2 s-1,0.5° grid,monthly,0.0,0.004,
water-management-variables,pirnreqcum,Cumulative Potential Net Irrigation Water Requirement,kg m-2,0.5° grid,annual,0.0,3000.0,"Soil water demand required to avoid water stress accumulated across the growing season, excluding any water losses associated with application or transport and without constraints due to water availability; only needed for `firr` simulations."
agricultural-variables,yield,Crop Yields,dry matter (t ha-1),0.5° grid,annual,0.0,30.0,"Yield may be identical to above-ground biomass (biom) if the entire plant is harvested, e.g. for bioenergy production. Yields are reported per growing seasons and not per year."
agricultural-variables,evapcum,Cumulative Evapotranspiration,kg m-2,0.5° grid,annual,0.0,1500.0,"Evapotranspiration = sum of transpiration, evaporation, interception and sublimation aggregated across the growing season."
agricultural-variables,initrcum,Cumulative Nitrogen Application,kg ha-1,0.5° grid,annual,0.0,1000.0,"Integral of the total nitrogen application rate over the growing season. If organic and inorganic amendments are applied, the nitrogen application should be reported as effective inorganic nitrogen input (ignoring residues)."
agricultural-variables,plantday,Planting Date,day of year,0.5° grid,annual,1.0,366.0,As Julian dates. The planting date reported here corresponds to the actual planting date in the simulation and may differ from the prescribed crop calendar planting date in rare cases as certain models may delay prescribed planting for a few days to have more suitable soil moisture and temperature conditions.
agricultural-variables,plantyear,Planting Year,calendar year,0.5° grid,annual,1850.0,2100.0,
agricultural-variables,anthday,Anthesis Date,days from planting,0.5° grid,annual,30.0,200.0,Together with the day and year of planting it allows for clear identification of anthesis.
agricultural-variables,matyday,Maturity Date,days from planting,0.5° grid,annual,50.0,400.0,Together with the day and year of planting it allows for clear identification of maturity.
agricultural-variables,harvyear,Harvest Year,calendar year,0.5° grid,annual,1850.0,2100.0,Usually the year when maturity is reached. Can also be computed from planting and maturuty day.
