group,specifier,long_name,units,resolution,frequency,valid_min,valid_max,comment
hydrological-variables,qtot,Total Runoff,kg m-2 s-1,0.5°,daily & monthly,0.0,0.017,Total (surface + subsurface) runoff (qtot = qs + qsb). Please provide both daily and monthly resolution.
hydrological-variables,qs,Surface Runoff,kg m-2 s-1,0.5°,monthly,0.0,0.004,Water that leaves the surface layer (top soil layer) e.g. as overland flow / fast runoff.
hydrological-variables,evap,Evapotranspiration,kg m-2 s-1,0.5° grid,monthly,0.0,0.004,"Sum of transpiration, evaporation, interception and sublimation."
hydrological-variables,soilmoist,Total Soil Moisture Content,kg m-2,0.5° grid,"daily if possible, else monthly",0.0,10000.0,"Please provide soil moisture for all depth layers (i.e. 3D-field), and indicate depth in m. If depth varies over time or space, see instructions for depth layers on <https://www.isimip.org/protocol/preparing-simulation-files>."
hydrological-variables,soilmoistfroz,Frozen Soil Moisture Content,kg m-2,0.5° grid,monthly,0.0,10000.0,Please provide soil moisture for all depth levels and indicate depth in m. See instructions for depth layers on <https://www.isimip.org/protocol/preparing-simulation-files>.
hydrological-variables,tsl,Temperature of Soil,K,0.5° grid,"daily if possible, else monthly",209.0,322.0,"Temperature of each soil layer. Reported as ""missing"" for grid cells occupied entirely by ""sea"". If daily resolution not possible, please provide monthly. If depth varies over time or space, see instructions for depth layers on <https://www.isimip.org/protocol/preparing-simulation-files>."
hydrological-variables,snd,Snow Depth,m,0.5° grid,"daily if possible, else monthly",0.0,1000.0,Grid cell mean depth of snowpack.
hydrological-variables,swe,Snow Water Equivalent,kg m-2,0.5° grid,monthly,0.0,200000.0,Total water mass of the snowpack (liquid or frozen) averaged over grid cell.
hydrological-variables,thawdepth,Maximum Thaw Depth,m,0.5° grid,annual,0.0,100.0,Calculated from daily thaw depths.
hydrological-variables,esoil,Water Evaporation from Soil,kg m-2 s-1,0.5° grid,monthly,0.0,0.004,Includes sublimation.
hydrological-variables,trans,Transpiration,kg m-2 s-1,0.5° grid,monthly,0.0,0.004,
carbon-pools,cveg,Carbon Mass in Vegetation,kg m-2,0.5° grid,annual,0.0,120.0,Grid cell total and PFT information is essential.
carbon-pools,clitterag,Carbon Mass in Above Ground Litter Pool,kg m-2,0.5° grid,annual,0.0,50.0,Grid cell total and PFT information is essential.
carbon-pools,clitterbg,Carbon Mass in Below Ground Litter Pool,kg m-2,0.5° grid,annual,0.0,50.0,"Only if models separates below-ground litter and soil carbon. If not, only report csoil and document this in the model documentation. Grid cell total and PFT information is essential."
carbon-pools,clitter,Total Carbon Mass in both Above and Below Ground Litter Pool,kg m-2,0.5° grid,annual,0.0,50.0,Sum of below and above ground carbon in litter pools. Not required if `clitterag` and `clitterbg` are provided. Grid cell total and PFT information is essential. The comments for `clitterag` and `clitterbg` apply.
carbon-pools,csoil,Carbon Mass in Soil Pool,kg m-2,0.5° grid,annual,0.0,3000.0,"Soil carbon excluding belowground litter if your model reports clitter. If not including below-ground litter, i.e. only report csoil and document this in the model documentation. Grid cell total and species information is essential."
carbon-pools,csoillayer,Carbon Mass in Soil Pool in each layer,kg m-2,0.5° grid,annual,0.0,1000000000.0,"Soil carbon excluding belowground litter if your model reports clitter. If not including below-ground litter, i.e. only report csoil and document this in the model documentation. If possible, provide soil carbon for all depth layers (i.e. 3D-field), and indicate depth in m. Otherwise, provide soil carbon integrated over entire soil depth."
carbon-pools,cproduct,Carbon in Products of Land Use Change,kg m-2,0.5° grid,annual,0.0,20.0,Products generated during Land-use change. Removed carbon should not go into the soil but into the product pool. Please use the product classes used within your model and document them in the model documentation.
