group,specifier,long_name,units,resolution,frequency,valid_min,valid_max,comment
hydrological-variables,evap,Evapotranspiration,kg m-2 s-1,stand,daily,0.0,0.004,"Sum of transpiration, evaporation, interception and sublimation."
hydrological-variables,soilmoist,Total Soil Moisture Content,kg m-2,stand,"daily if possible, else monthly",0.0,10000.0,"Please provide soil moisture for all depth layers (i.e. 3D-field), and indicate depth in m. If depth varies over time or space, see instructions for depth layers on <https://www.isimip.org/protocol/preparing-simulation-files>."
hydrological-variables,tsl,Temperature of Soil,K,stand,"daily if possible, else monthly",209.0,322.0,"Temperature of each soil layer. Reported as ""missing"" for grid cells occupied entirely by ""sea"". If daily resolution not possible, please provide monthly. If depth varies over time or space, see instructions for depth layers on <https://www.isimip.org/protocol/preparing-simulation-files>."
hydrological-variables,esoil,Water Evaporation from Soil,kg m-2 s-1,stand,daily,0.0,0.004,Includes sublimation.
hydrological-variables,trans,Transpiration,kg m-2 s-1,stand,daily,0.0,0.004,
carbon-pools,cveg,Carbon Mass in Vegetation,kg m-2,stand,annual,0.0,120.0,As kg carbon m⁻². Stand total and PFT information is essential.
carbon-pools,cvegag,Carbon Mass in Above Ground Vegetation Biomass,kg m-2,stand,annual,0.0,70.0,As kg carbon m⁻²Stand total and PFT information is essential.
carbon-pools,cvegbg,Carbon Mass in Below Ground Vegetation Biomass,kg m-2,stand,annual,0.0,50.0,As kg carbon m⁻². Stand total and PFT information is essential.
carbon-pools,clitterag,Carbon Mass in Above Ground Litter Pool,kg m-2,stand,annual,0.0,50.0,Species information is essential. Stand total and PFT information is essential.
carbon-pools,clitterbg,Carbon Mass in Below Ground Litter Pool,kg m-2,stand,annual,0.0,50.0,Only if models separates below-ground litter and soil carbon. Species information is essential.
carbon-pools,clitter,Total Carbon Mass in both Above and Below Ground Litter Pool,kg m-2,stand,annual,0.0,50.0,Sum of below and above ground carbon in litter pools. Not required if `clitterag` and `clitterbg` are provided. The comments for `clitterag` and `clitterbg` apply.
carbon-pools,csoil,Carbon Mass in Soil Pool,kg m-2,stand,annual,0.0,3000.0,"Soil carbon excluding belowground litter if your model reports clitter. If not including below-ground litter, i.e. only report csoil and document this in the model documentation."
carbon-pools,csoillayer,Carbon Mass in Soil Pool in each layer,kg m-2,stand,annual,0.0,1000000000.0,"Soil carbon excluding belowground litter if your model reports clitter. If not including below-ground litter, i.e. only report csoil and document this in the model documentation. Grid cell total and species information is essential. If possible, provide soil carbon for all depth layers (i.e. 3D-field), and indicate depth in m. Otherwise, provide soil carbon integrated over entire soil depth."
carbon-pools,cproduct,Carbon in Products of Land Use Change,kg m-2,stand,annual,0.0,20.0,Products generated during Land-use change. Removed carbon should not go into the soil but into the product pool. Please use the product classes used within your model and document them in the model documentation.
carbon-pools,cleaf,Carbon Mass in Leaves,kg m-2,stand,annual,0.0,2.0,
carbon-pools,cwood,Carbon Mass in Wood,kg m-2,stand,annual,0.0,70.0,Including sapwood and hardwood.
carbon-pools,croot,Carbon Mass in Roots,kg m-2,stand,annual,0.0,50.0,Including fine and coarse roots.
carbon-pools,ccwd,Carbon Mass in Coarse Woody Debris,kg m-2,stand,annual,0.0,50.0,
carbon-fluxes,gpp,Carbon Mass Flux out of Atmosphere due to Gross Primary Production on Land,kg m-2 s-1,stand,daily,0.0,1e-06,As kg carbon m⁻² s⁻¹. Stand total and Species information is essential.
